id,name,cityName,address,lat,lon,food,low,high,priceBasis,source,positionStatus,navigationUrl
VN001,Gia,河内,"61 Van Mieu Street, Quoc Tu Giam Ward, Hanoi, Vietnam",21.0274223,105.8359626,越南当代品鉴套餐,646,904,官方菜单价（税费前）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/gia-1202148,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=Gia%2C%2061%20Van%20Mieu%20Street%2C%20Quoc%20Tu%20Giam%20Ward%2C%20Hanoi%2C%20Vietnam
VN002,Hibana by Koki,河内,"B1F, Capella Hanoi, 11 Le Phung Hieu Street, Hoan Kiem Ward, Hanoi, Vietnam",21.0258394,105.8565699,日式铁板烧；和牛、海鲜,904,2195,官方菜单价（税费前）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/hibana-by-koki,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=Hibana%20by%20Koki%2C%20B1F%2C%20Capella%20Hanoi%2C%2011%20Le%20Phung%20Hieu%20Street%2C%20Hoan%20Kiem%20Ward%2C%20Hanoi%2C%20Vietnam
VN004,ONVIT,河内,"3F, Grand Plaza Hotel, 117 Tran Duy Hung Street, Yen Hoa Ward, Hanoi, Vietnam",21.0074302,105.7968181,韩式当代料理；品鉴套餐,465,826,官方菜单价（税费前）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/onvit,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=ONVIT%2C%203F%2C%20Grand%20Plaza%20Hotel%2C%20117%20Tran%20Duy%20Hung%20Street%2C%20Yen%20Hoa%20Ward%2C%20Hanoi%2C%20Vietnam
VN003,Tầm Vị,河内,"4B Yen The Street, Ba Dinh Ward, Hanoi, Vietnam",21.0290282,105.8394747,北越家常菜；米饭配肉菜、时蔬,77,155,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/tam-vi,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=T%E1%BA%A7m%20V%E1%BB%8B%2C%204B%20Yen%20The%20Street%2C%20Ba%20Dinh%20Ward%2C%20Hanoi%2C%20Vietnam
VN005,1946 Cua Bac,河内,"3 Yen Thanh Alley, 61 Cua Bac Street, Ba Dinh Ward, Hanoi, Vietnam",21.0428477,105.8429558,越南家常菜,39,77,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/1946-cua-bac,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=1946%20Cua%20Bac%2C%203%20Yen%20Thanh%20Alley%2C%2061%20Cua%20Bac%20Street%2C%20Ba%20Dinh%20Ward%2C%20Hanoi%2C%20Vietnam
VN008,Bun Cha Ta (Nguyen Huu Huan Street),河内,"21 Nguyen Huu Huan Street, Hoan Kiem Ward, Hanoi, Vietnam",21.0343385,105.8545007,烤猪肉米线、炸春卷,39,77,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/bun-cha-ta-nguyen-huu-huan-street,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=Bun%20Cha%20Ta%20%28Nguyen%20Huu%20Huan%20Street%29%2C%2021%20Nguyen%20Huu%20Huan%20Street%2C%20Hoan%20Kiem%20Ward%2C%20Hanoi%2C%20Vietnam
VN006,Bánh Cuốn Gia Truyền Thanh Vân (Hang Ga Street),河内,"14 Hang Ga Street, Hoan Kiem Ward, Hanoi, Vietnam",21.0361631,105.8470061,越式蒸米皮卷；猪肉、虾或鸡肉馅,13,26,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/banh-cuon-gia-truyen-thanh-van-hang-ga-street,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=B%C3%A1nh%20Cu%E1%BB%91n%20Gia%20Truy%E1%BB%81n%20Thanh%20V%C3%A2n%20%28Hang%20Ga%20Street%29%2C%2014%20Hang%20Ga%20Street%2C%20Hoan%20Kiem%20Ward%2C%20Hanoi%2C%20Vietnam
VN007,Bún Chả Chan,河内,"114 Mai Hac De Street, Hai Ba Trung Ward, Hanoi, Vietnam",21.010189,105.850778,河内烤猪肉米线,15,31,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/bun-cha-chan,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=B%C3%BAn%20Ch%E1%BA%A3%20Chan%2C%20114%20Mai%20Hac%20De%20Street%2C%20Hai%20Ba%20Trung%20Ward%2C%20Hanoi%2C%20Vietnam
VN010,Chào Bạn (98 To Ngoc Van Street),河内,"98 To Ngoc Van Street, Tay Ho Ward, Hanoi, Vietnam",21.0679,105.82236,越南家常菜,39,77,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/chao-ban,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=Ch%C3%A0o%20B%E1%BA%A1n%20%2898%20To%20Ngoc%20Van%20Street%29%2C%2098%20To%20Ngoc%20Van%20Street%2C%20Tay%20Ho%20Ward%2C%20Hanoi%2C%20Vietnam
VN009,Chả Cá Thăng Long (6B Duong Thanh Street),河内,"6B Duong Thanh Street, Hoan Kiem Ward, Hanoi, Vietnam",21.0330434,105.8461533,姜黄莳萝煎鱼；搭配米线,39,65,预算估算（非菜单报价）,https://guide.michelin.com/en/ha-noi/ha-noi_2974158/restaurant/cha-ca-thang-long,公开餐厅坐标，非实地测量；入店前核对门牌,https://www.google.com/maps/dir/?api=1&destination=Ch%E1%BA%A3%20C%C3%A1%20Th%C4%83ng%20Long%20%286B%20Duong%20Thanh%20Street%29%2C%206B%20Duong%20Thanh%20Street%2C%20Hoan%20Kiem%20Ward%2C%20Hanoi%2C%20Vietnam
